Key,English,Vietnamese,
Scene01.1,"[gently ....] Oh, are you awake?","[nhẹ nhàng....] Oh, cậu đã tỉnh rồi à?",Village elder:
Scene01.2,"[Surprised....] Oh, I... I'm here. But... but where is this?","[Ngạc nhiên....] Ồ, tôi... Tôi đây. Nhưng... nhưng đây là đâu vậy ạ?",Me
Scene01.3,"[Patiently....] Well, you're lucky you woke up. I think you lost your family in the forest and came to our village.","[Nhẫn nại....] Chà, thật may là cậu tỉnh dậy. Tôi nghĩ cậu đã lạc mất gia đình trong rừng và tới làng chúng tôi.",Village elder:
Scene01.4,[Doubtfully....] Lost family? But I can't remember anything clearly. I just remember I'm at my house...,[Nghi ngờ....] Lạc mất gia đình? Nhưng tôi không thể nhớ rõ gì cả. Tôi chỉ nhớ là tôi đang ở nhà mình...,Me
Scene01.5,"[Slight smile....] It's okay, you can rest assured. I am the village chief of Phu Nong Village. Okay, tell me about yourself.","[Nhẹ cười....] Không sao, cậu cứ yên tâm. Tôi là trưởng làng của Làng Phú Nông. Được rồi, hãy kể tôi nghe về chính mình đi.",Village elder:
Scene01.6,[Round eyes....] Village chief? Phu Nong Village? Really? I... I don't understand anything.,[Mắt tròn....] Trưởng làng à? Làng Phú Nông? Thật sao? Tôi... Tôi không hiểu gì cả.,Me
Scene01.7,[Naughty....] Can you be more specific? Has he lost his memory?,[Nghịch ngợm....] Cậu có thể nói rõ hơn không? Có phải cậu bị mất trí nhớ?,Village elder:
Scene01.8,"[Angry....] I don't have amnesia, I just... just don't understand why I'm here.","[Tức giận....] Cháu không bị mất trí nhớ, cháu chỉ... chỉ không hiểu tại sao cháu lại ở đây.",Me
Scene01.9,[Silence for a moment....] Phu Nong Village... I read about it in a book before...,[Câm nín một lúc....] Làng Phú Nông... Mình đọc về nó trong một cuốn sách trước khi...,Me
Scene01.10,"[Pauses, glazed over....] Oh, sure... I went into your world of the story I was reading.","[Ngừng lại, ánh mắt thẫn thờ....] Oh, chắc chắn rồi... Cháu đã đi đến thế giới trong cậu chuyện mà cháu đang đọc.",Me
Scene01.11,[Thinking....] So a new journey will continue.,[Suy nghĩ....] Vậy ra lại một hành trình mới sẽ được tiếp diễn.,Village elder:
Scene01.12,[Nods....] I got everything. The book you are talking about is the story of the world we live in.,[Gật đầu....] Con đã nắm được mọi thứ. Cuốn sách mà con nói chính là lời kể về thế giới chúng ta đang sống.,Village elder:
Scene01.13,[Curious....] But why me? Why are you here?,[Tò mò....] Nhưng tại sao lại là cháu? Tại sao cháu lại ở đây?,Me
Scene01.14,"[Laughs....] I don't believe in fairy tales, but I'm the only one who has the ability to intersect the real world with ours. Child is selected.","[Tươi cười....] Con không tin vào truyện cổ tích, nhưng con lại là người duy nhất có khả năng giao thoa giữa thế giới thực và thế giới của chúng ta. Con được chọn.",Village elder:
Scene01.15,[Hesitantly....] But why me?,[Đắn đo....] Nhưng tại sao lại là tôi?,Me
Scene01.16,[Gently....] Sometimes it's people who don't believe in miracles that can bring out the most miracles.,"[Nhẹ nhàng....] Đôi khi, những người không tin vào điều kì diệu mới có thể mang lại điều kì diệu nhất.",Village elder: